line_number,speaker,sentence,politifact_statement,verified_claim,verified_claim_article_title,truth_value,verified_claim_url,notes
234,PENCE,"I mean, the truth of the matter is, the policies of this administration, which Hillary Clinton and Senator Kaine want to continue, have run this economy into a ditch.","Kaine ""Fifteen million new jobs"" have been created during the Obama years.","Says that during President Barack Obamas tenure, the United States has created ""15 million new jobs.""",Tim Kaine says that during the Obama administration 15 million jobs were created,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/oct/04/tim-kaine/tim-kaine-says-during-obama-administration-15-mill/,NOT SURE
236,KAINE,Fifteen million new jobs?,"Kaine ""Fifteen million new jobs"" have been created during the Obama years.","Says that during President Barack Obamas tenure, the United States has created ""15 million new jobs.""",Tim Kaine says that during the Obama administration 15 million jobs were created,Half-True,https://www.politifact.com/truth-o-meter/statements/2016/oct/04/tim-kaine/tim-kaine-says-during-obama-administration-15-mill/,NOT SURE
305,KAINE,Richard Nixon released tax returns when he was under audit.,"Kaine ""Richard Nixon released tax returns when he was under audit.""",Richard Nixon released tax returns when he was under audit.,Tim Kaine correctly notes Richard Nixon released tax returns despite audit  PolitiFact Virgin,TRUE,https://www.politifact.com/virginia/statements/2016/oct/05/tim-kaine/tim-kaine-correctly-notes-richard-nixon-released-t/,
326,KAINE,Donald Trump wrote a book and he said Social Security is a Ponzi scheme and privatization would be good for all of us.,"Kaine ""Donald Trump wrote a book and he said Social Security is a Ponzi scheme and privatization would be good for all of us.""","Donald Trump would ""engage in a risky scheme to privatize Social Security.""",Tim Kaine Mostly False on Donald Trump's Social Security stance,Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/oct/05/tim-kaine/tim-kaine-mostly-false-donald-trumps-social-securi/,
437,KAINE,But he had been stopped by police 40 or 50 times before that fatal incident.,"Kaine Philando Castile ""had been stopped by police 40 or 50 times before that fatal incident.""","Says Philando Castile ""had been stopped by police 40 or 50 times before that fatal incident.""",Kaine Police stopped slain Minnesota driver over 40 times,TRUE,http://politifact.com/truth-o-meter/statements/2016/oct/05/tim-kaine/kaine-police-stopped-slain-minnesota-driver-over-4/,
438,KAINE,"And if you look at sentencing in this country, African-Americans and Latinos get sentenced for the same crimes at very different rates.","Kaine ""And if you look at sentencing in this country, African-Americans and Latinos get sentenced for the same crimes at very different rates.""",African-Americans are more likely to be arrested by police and sentenced to longer prison terms for doing the same thing that whites do.,"Hillary Clinton says blacks more likely to be arrested, get longer sentences",TRUE,https://www.politifact.com/truth-o-meter/statements/2016/feb/26/hillary-clinton/hillary-clinton-says-blacks-more-likely-be-arreste/,
497,PENCE,"Hillary Clinton and Tim Kaine want to continue the policies of open borders, amnesty, catch and release, sanctuary cities, all the things that are driving -- that are driving wages down in this country, Senator, and also too often with criminal aliens in the country, it's bringing heartbreak.","Pence ""Hillary Clinton and Tim Kaine want to continue the policies of open borders, amnesty, catch and release, sanctuary cities.""","Says HillaryClintons immigration platform would ""create totally open borders.""",Donald Trump says Hillary Clinton would create 'totally open borders'  PolitiFact Florid,FALSE,https://www.politifact.com/florida/statements/2016/jun/23/donald-trump/donald-trump-says-hillary-clinton-would-create-tot/,
497,PENCE,"Hillary Clinton and Tim Kaine want to continue the policies of open borders, amnesty, catch and release, sanctuary cities, all the things that are driving -- that are driving wages down in this country, Senator, and also too often with criminal aliens in the country, it's bringing heartbreak.","Pence ""Hillary Clinton and Tim Kaine want to continue the policies of open borders, amnesty, catch and release, sanctuary cities.""","Says ""Hillary Clinton has pledged amnesty in her first 100 days, and her plan will provide Obamacare, Social Security, and Medicare for illegal immigrants, breaking the federal budget.""","Donald Trump strays from key facts on Hillary Clinton 'amnesty,' social programs for immigrants",Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/sep/02/donald-trump/donald-trump-strays-key-facts-hillary-clinton-amne/,
497,PENCE,"Hillary Clinton and Tim Kaine want to continue the policies of open borders, amnesty, catch and release, sanctuary cities, all the things that are driving -- that are driving wages down in this country, Senator, and also too often with criminal aliens in the country, it's bringing heartbreak.","Pence ""Hillary Clinton and Tim Kaine want to continue the policies of open borders, amnesty, catch and release, sanctuary cities.""","Says Hillary Clinton ""wants sanctuary cities.""",Donald Trump says at RNC that Hillary Clinton 'wants sanctuary cities'  PolitiFact Florid,Mostly True,https://www.politifact.com/florida/statements/2016/jul/21/donald-trump/donald-trump-says-rnc-hillary-clinton-says-hillary/,
639,KAINE,He trash talks the military.,"Kaine Trump ""trash talks the military. The military is a disaster, John McCain's no hero, the generals need all to be fired, and I know more than them.""","Says Donald Trump ""claimed our armed forces are 'a disaster.'""",Hillary Clinton says Donald Trump has called the U.S. military 'a disaster',Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/jul/29/hillary-clinton/hillary-clinton-says-donald-trump-has-called-us-mi/,
639,KAINE,He trash talks the military.,"Kaine Trump ""trash talks the military. The military is a disaster, John McCain's no hero, the generals need all to be fired, and I know more than them.""","Four times, I said, he John McCainis a hero, but you know ... people choose selective pieces.",Trump I called McCain a 'hero' four times,Mostly False,https://www.politifact.com/truth-o-meter/statements/2015/jul/19/donald-trump/trump-i-called-mccain-hero-four-times/,
640,KAINE,"The military is a disaster, John McCain's no hero, the generals need all to be fired, and I know more than them.","Kaine Trump ""trash talks the military. The military is a disaster, John McCain's no hero, the generals need all to be fired, and I know more than them.""","Says Donald Trump ""claimed our armed forces are 'a disaster.'""",Hillary Clinton says Donald Trump has called the U.S. military 'a disaster',Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/jul/29/hillary-clinton/hillary-clinton-says-donald-trump-has-called-us-mi/,
640,KAINE,"The military is a disaster, John McCain's no hero, the generals need all to be fired, and I know more than them.","Kaine Trump ""trash talks the military. The military is a disaster, John McCain's no hero, the generals need all to be fired, and I know more than them.""","Four times, I said, he John McCainis a hero, but you know ... people choose selective pieces.",Trump I called McCain a 'hero' four times,Mostly False,https://www.politifact.com/truth-o-meter/statements/2015/jul/19/donald-trump/trump-i-called-mccain-hero-four-times/,
965,KAINE,More nations should get nuclear weapons.,"Pence Donald Trump ""never said that"" more nations should get nuclear weapons.","Says Donald Trump ""never said that"" more nations should get nuclear weapons.","At debate, Mike Pence claims Trump never said more nations should have nuclear weapons",Mostly False,http://politifact.com/truth-o-meter/statements/2016/oct/05/mike-pence/debate-mike-pence-claims-trump-never-said-more-nat/,NEEDS LINE 968
968,PENCE,"Well, he never said that, Senator.","Pence Donald Trump ""never said that"" more nations should get nuclear weapons.","Says Donald Trump ""never said that"" more nations should get nuclear weapons.","At debate, Mike Pence claims Trump never said more nations should have nuclear weapons",Mostly False,http://politifact.com/truth-o-meter/statements/2016/oct/05/mike-pence/debate-mike-pence-claims-trump-never-said-more-nat/,NEEDS LINE 968
682,PENCE,You didn't stop the nuclear weapons program.,"Pence ""You didn't stop the nuclear weapons program.""Kaine ""Yes, we did.""",We put a lid on Iran's nuclear program without firing a single shot.,Hillary Clinton says U.S. 'put a lid on Iran's nuclear program',Mostly True,https://www.politifact.com/truth-o-meter/statements/2016/jul/29/hillary-clinton/hillary-clinton-says-us-put-lid-irans-nuclear-prog/,
694,PENCE,Hillary Clinton and Tim Kaine want to increase the Syrian refugee program by 500...,"Pence ""Hillary Clinton and Tim Kaine want to increase the Syrian refugee program by 500"" percent.","Says Hillary Clinton ""wants to increase Syrian refugees to this country by 550 percent.""",Mike Pence cites Clinton support for more Syrian refugees,TRUE,https://www.politifact.com/truth-o-meter/statements/2016/sep/04/mike-pence/mike-pence-cites-clinton-support-more-syrian-refug/,
737,PENCE,"Elaine, the director of the FBI, our homeland security, said we can't know for certain who these people are coming from Syria.","Pence ""Elaine, the director of the FBI, our homeland security, said we can't know for certain who these people are coming from Syria.""","There is ""no system to vet"" refugees from the Middle East.",Wrong Donald Trump says there's 'no system to vet' refugees,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/jun/13/donald-trump/wrong-donald-trump-says-theres-no-system-vet-refug/,
1039,PENCE,we delivered $400 million in cash as a ransom payment for Americans held by the radical mullahs in Tehran.,"Pence ""We delivered 400 million in cash as a ransom payment for Americans held by the radical mullahs in Tehran.","The Obama administration gave Iran ""400 million in ransom payment cash.""",Donald Trump's Mostly False claim that 400 million payment to Iran was 'ransom',Mostly False,https://www.politifact.com/truth-o-meter/statements/2016/aug/24/donald-trump/donald-trump-calls-400-million-payment-iran-ransom/,
1134,KAINE,It provides AIDS drugs to about 11.5 million people.,"Kaine The Clinton Foundation ""provides AIDS drugs to about 11.5 million people.""",Nine million people have lower-cost HIVAIDS medicine because of the work of the Clinton Foundation and my husband.,Clinton Clinton Foundation helped 9 million with lower-cost AIDS drugs  PolitiFact Global News Service,TRUE,https://www.politifact.com/global-news/statements/2016/jun/15/hillary-clinton/clinton-clinton-foundation-helped-9-million-lower-/,
1163,PENCE,Less than 10 cents on the dollar of the Clinton Foundation has gone to charitable causes.,"Pence ""Less than 10 cents on the dollar in the Clinton Foundation has gone to charitable causes.""","The fact is the Clinton Foundation has ""got about 80 percent in overhead and 20 percent of the money is actually getting into the places it should.""",Reince Priebus' False claim that 80 of Clinton Foundation costs are overhead,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/aug/25/reince-priebus/reince-priebus-false-claim-80-clinton-foundation-c/,
1163,PENCE,Less than 10 cents on the dollar of the Clinton Foundation has gone to charitable causes.,"Pence ""Less than 10 cents on the dollar in the Clinton Foundation has gone to charitable causes.""","The Clinton Foundation gives less than 10percent in direct aid. In 2013, they raised 140 million bucks, gave 9 million to people in direct aid.",Trump surrogate repeats wrong talking point on Clinton Foundation giving  Pund,Mostly False,https://www.politifact.com/punditfact/statements/2016/sep/06/alex-castellanos/trump-surrogate-repeats-wrong-talking-point-clinto/,
1163,PENCE,Less than 10 cents on the dollar of the Clinton Foundation has gone to charitable causes.,"Pence ""Less than 10 cents on the dollar in the Clinton Foundation has gone to charitable causes.""","Eighty-five percent of every dollar donated to the Clinton Foundation ended up either with the Clintons or with their staff to pay for travel, salaries, and benefits. Fifteen cents of every dollar actually went to some charitable beneficiary.","Rush Limbaugh says Clinton Foundation spends just 15 percent on charity, 85 percent on overhead  Pund",Mostly False,https://www.politifact.com/punditfact/statements/2015/apr/29/rush-limbaugh/rush-limbaugh-says-clinton-foundation-spends-just-/,
1163,PENCE,Less than 10 cents on the dollar of the Clinton Foundation has gone to charitable causes.,"Pence ""Less than 10 cents on the dollar in the Clinton Foundation has gone to charitable causes.""",10 cents on thedollar from the Clinton Foundation goes to charitable causes.,ence repeats false claim on Clinton Foundation's limited charitable work,FALSE,https://www.politifact.com/truth-o-meter/statements/2016/oct/04/mike-pence/pence-repeats-false-claim-clinton-foundations-limi/,
1162,KAINE,"A $20,000 portrait of Donald Trump?","Kaine Trump Foundation money was spent on ""a 20,000 portrait of Donald Trump.""","Says Donald Trump'sfoundation ""took money other people gave to his charity and then bought a six-foot-tall painting of himself.""","Barack Obama says Trump foundation took other people's money, bought a six-foot-tall painting",TRUE,https://www.politifact.com/truth-o-meter/statements/2016/sep/13/barack-obama/barack-obama-says-trump-foundation-took-other-peop/,WEAK
1259,KAINE,And that is the fundamental difference between a Clinton-Kaine ticket and a Trump- Pence ticket that wants to punish women who make that choice.,"Kaine ""A Trump-Pence ticket that wants to punish women who make that choice"" on abortion.","Says Donald Trump ""said a woman should be punished for exercising her right to choose.""","At DNC, Barbara Boxer says Trump said women should be 'punished' for abortion",Half-True,https://www.politifact.com/truth-o-meter/statements/2016/jul/26/barbara-boxer/dnc-barbara-boxer-says-trump-said-women-should-be-/,
1325,KAINE,"She worked across the aisle when she was first lady to get the CHIP program passed so that 8 million low-income kids have health insurance in this country, including 150,000 in Indiana.","Kaine Clinton ""worked across the aisle when she was first lady to get the CHIP program passed so that 8 million low-income kids have health insurance in this country, including 150,000 in Indiana.""","Says Hillary Clinton won""health care for 8 million children.""",Did Hillary Clinton win health care for 8 million children as first lady?  PolitiFact Colorad,Mostly True,https://www.politifact.com/colorado/statements/2016/feb/17/hillary-clinton/hillary-clinton-wrong-sanders-claim/,
